airserviceproducersum{name="semantic",currentcount="42",servicename="semantic",notifiedperson="",normalcount="42"} 1
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.SqlGenerateFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.scheduler.SchedulerTaskFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.service.AuthorityQueryServiceFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.service.RowAuthRuleFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.service.UserGroupFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.AccelerateResultPlanFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.CustomCalendarFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.DimensionFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.MetricFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.ResourcePublishServiceFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
aironserviceproducerhealthycount{name="providers:com.aloudata.semantic.common.service.facade.AccelerateFacade:1.0.0:",healthytcount="1",servicename="semantic",notifiedperson="",normalcount="1"} 2
